Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
 kalo kamu noob pasti peluang disakitin nya lebih gede si,0,0,0,0,0,0,0,0,0,0,0,0
 joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0,0,0,0,0,0,0,0,0,0,0,0
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada  damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
ini si  kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0
    pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
  itu mah sdh neneknenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
         islam nusantara produk jil dipasarkan dg gencar oleh antekxcxb jilnnsementara jil anti arab tapi pro asengnnkata alm kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampe jam  sibayik udah nete x skg rasanya lemas tak terkira xfxfxaxa,0,0,0,0,0,0,0,0,0,0,0,0
 gak kak emak mah gak demen ama yang sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
  kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url,0,1,0,0,0,0,0,0,0,0,0,0
 ga kak gua bukan orang jawa maaf yak   gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi kek mentang gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
xexxdpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipatxexxdsanji hbdthpelautjkt,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0
  presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatbrsamajkw,0,0,0,0,0,0,0,0,0,0,0,0
edan emang goollnya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya  yg sangat berwibawa cuma gubernur indonesia   massya allah,0,0,0,0,0,0,0,0,0,0,0,0
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0
gubernurzamannow gusipulputi ganjaryasin djarotsihar hasananton kosterace nurdinsudirman karolingidot   keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
  apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sundajawa ada hkbp juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
ciptakan situasi kamtibmas menjelang pilkada  kapolsek konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
  positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0,0,0,0,0,0,0,0,0,0,0
    kata sembahyang mengadopsi tradisi lokal pada masa kerjaan hindunnistilahxcxasembahyangxcxapun lahir dari tradisi ritusxcxamenyembahhyang yang tunggal sama denganxcxashalat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
kau pendikan tinggi tapi bodohgk ada larang bawa agamabiar orang islam yg di bayar ahok sadar gk jadi milih ahok gla,1,1,1,0,0,0,0,0,1,1,0,0
  btp the best abaikan kaum kampret otak micin ,1,1,0,1,0,0,0,0,1,0,1,0
   si otak tempurung mah ga usah d ladenin smkn d lawan semakin bloon dan dungu dan kalo ga gitu dia ga makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
 awaasss jgn sampe beritanya sampe ke akhi gerung ntar susah nyari kosakatany klu bcr aja micingin mata bibir monyong kesamping suara keluar ky lg nhn kentut politik kotor skl jmn ini klu tahu brt ini plng sambil ky nhn ngedendungu xfxfxxb,1,1,1,0,0,0,1,0,0,1,0,0
pinokio umur  taonan tuh gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
 cerita silat lae  semacam kho ping hoo yang dari indonesia tapi liang ie shen penulis dari china,0,0,0,0,0,0,0,0,0,0,0,0
  benci sekali dgn umat islam,1,0,0,1,1,0,0,0,0,0,1,0
   provokasi mayat politisasi agama penyebab kekalahan pilkada dki beginilah cara cebong mendeskripsikan kekalahan junjungannya fyi ahog blm pernah ikut pemilihan apapun kec jd wakil dan dia bukanlah etnis mayorita,1,1,1,0,0,1,0,0,0,1,0,0
 dari pada gua nete,0,1,0,0,0,0,0,0,0,0,0,0
 lol bani lowo,1,1,0,1,0,0,0,0,1,0,1,0
takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan iblis mahluq yg alim amp telah beribadah beratus th dilaknat krn hasud takabburnya apalagi hanya seorang ahli ilmu filsafat yg tdk failosof  mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
a orang yang suka ke konserkonser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
 sampai kapan makan racun    banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0
susilo bambang yudhoyono presiden ri ke  meminta khofifah emil untuk dekat dengan masyarakat  no  bisa  baguss khofifahemilnomer,0,0,0,0,0,0,0,0,0,0,0,0
 udah biasa kali gue kpoper tapi kalo ngomonv sama temen gue idol gua banci homo,1,1,1,0,0,0,0,1,0,1,0,0
saya suka video  url awal kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
budaya kafir bersungguh klau hal islam tidak diendahkan,0,0,0,0,0,0,0,0,0,0,0,0
    xfxfxexb la la lahm hmm xfxfxexa semua diam semua bisunkita coba tanya sama rumput yg bergoyang nxexxabxexxabxexxabxexxaaxexxaaxexxaa,0,0,0,0,0,0,0,0,0,0,0,0
apabila setan membisikkan waswas kepadamu mintalah perlindungan kepada allah qs alaxexxraf  dan fushilat ,0,0,0,0,0,0,0,0,0,0,0,0
       klw ente atheisngapain sibuk dgn agama orang,0,0,0,0,0,0,0,0,0,0,0,0
lengserkan jokowi bangsat,1,1,1,0,0,0,0,0,1,0,0,1
 selamat hari kartini   gantipresiden presidenbaru,0,0,0,0,0,0,0,0,0,0,0,0
  bajingan homonhati terhadap anak kita terutama di kamar mandi laki jgn biarkan sendiri url,1,1,1,0,0,0,0,1,0,1,0,0
 iya cocot,1,1,1,0,0,0,0,0,1,1,0,0
 karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
 yang ngajarin solata ajah itu orang aseng dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
 x  lo ngomong aja kaga bener bangke,1,1,1,0,0,0,0,0,1,1,0,0
  kita semua tidak pernah akan mempercayai yg negara kita disuatu hari nanti akan dijajah oleh kerana terdapat kespembubaran sistem beraja dinegara kita kini untuk menjadikan sebagai negara republik komunis padahal negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
tapi masih menikmati kebijakan yang dulu diusulkan pki lha yo opo,1,0,0,1,0,1,0,0,0,0,1,0
kalo seumpama orang cina di usir paksa dari indonesia gimana,1,0,0,1,0,1,0,0,0,0,1,0
 bunda ngentot yuk,0,1,0,0,0,0,0,0,0,0,0,0
  china babi china malingnusirchina httpstcoyhiwhjp,1,1,0,1,0,1,0,0,0,0,0,1
bung karno anti asing dan beliau dari jawa coba deh adain konsensus lebih banyak mana jawa yang anti asing atau pro asing karena keboohannya nnkalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
proyek korupsi rezim sby url,1,0,1,0,0,0,0,0,1,1,0,0
 wajar saja lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
ab pribadi yg senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
  terus menurut lo kitab suci agama apa yg di bilang om    mendadakkalap,1,0,1,0,0,0,0,0,1,1,0,0
 suka nutup mata kaga ditutup pun udah terlihat tertutup gara sipit ,0,0,0,0,0,0,0,0,0,0,0,0
 sy sbg muslim tdk merasa pak  menistakan kitab suci alquran krn dlm alquran sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm,0,0,0,0,0,0,0,0,0,0,0,0
 eh kasar kau kampang,1,1,1,0,0,0,0,0,1,1,0,0
bentar lagi gua rilis album the ontas wkwkwkwkwk,0,0,0,0,0,0,0,0,0,0,0,0
 ada cebong bang dia merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
najis banget gw ngetwit apa barusan wey,0,1,0,0,0,0,0,0,0,0,0,0
kamu transgender atau gmn anjing  url,1,1,1,0,0,0,0,1,0,1,0,0
 awas bintitan lu ngintipin titit kucing,0,1,0,0,0,0,0,0,0,0,0,0
  bawel baper bolot baik bodor  gaje wkwk apa ya udah itu aja deh,0,1,0,0,0,0,0,0,0,0,0,0
    gue saranin gk perlu bnyk bacot maling ayat langsung to the point aja lu jadi orang yg tdk sepaham lu teriakin aja kafir sesat liberal pemuja dukun bla blaaa pasti hatimu puas dehh ,1,1,1,0,1,0,0,0,0,1,0,0
jgn salah target bkn ahok agenda utama lengserkan jokowi ,1,0,1,0,0,0,0,0,1,0,0,1
  masa baru kena hestek aja udah kepanasan  kepo banget   gantipresiden,1,0,1,0,0,0,0,0,1,1,0,0
maju lu sini duit tapi kau goyang kaki tak buat pape  mana la duit nak maju kat kau bodo url,0,1,0,0,0,0,0,0,0,0,0,0
 hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belandadl tdk ada yg namanya kristen protestan yg ada cm kristen khatoliknterjadilah perpecahan dan berdirilah hkbp yg prtama kali di tarutungnnnah skrg anda sy k,0,0,0,0,0,0,0,0,0,0,0,0
ha  ha  banyak baca biar pintar  jepang amerika china utang sama siapa  anda tau enggak ,0,0,0,0,0,0,0,0,0,0,0,0
prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
  dan yang takut dengan adzan adalah iblis,0,0,0,0,0,0,0,0,0,0,0,0
  yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
    wuih cebong sewotnxfxfxxxfxfxxxfxfxx,1,1,1,0,0,0,0,0,1,1,0,0
 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
padahal gubernur saat ini djarot mayoritas partai politik di dprd juga pendukung ahok djarot payah ya mereka  url,1,0,1,0,0,0,0,0,1,1,0,0
 rezim rusak bukan memperbaiki systeamnya malah sibuk cari kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
saat orang orang saling menuding antek aseng aseng sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
 nah loh katanya anti aseng,0,0,0,0,0,0,0,0,0,0,0,0
selamat pak  semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
asyikmnang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
 yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,0,0,0,0,0,0,0,0,0,0
 anak pecun ga jauh dr hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
 que bom sbbsnsn,0,0,0,0,0,0,0,0,0,0,0,0
 istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun ,0,0,0,0,0,0,0,0,0,0,0,0
pada  house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
 tak terasa genap  tahun mendatang  april  akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
 ian pantat,0,1,0,0,0,0,0,0,0,0,0,0
  ngakunya org pintar dan beragama emangnya agama mana yg memperbolehkan menista dan menghujat org lain jgnkan orang bodoh org yg  maaf sejak lahir idiot sekalipun dia kita hrs hargain sebagai sesama ciptaan tuhan ingat  iblis itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
pendaftaran capres untuk pilpres saja belum dibuka sampai agustus yang normatif begini politikus pdip masih belum paham gantipresiden ,1,0,0,1,0,0,0,0,1,0,1,0
si tolol udah tau pemerintah rezim komunis ini bobrok koruptor bisa pimpinan sidang dpr paya cebong url,1,1,1,0,0,1,0,0,0,1,0,0
dari dulu kenapa bapak w kalau ke mantan mantan w selalu mgerasa sedih ampe kepikiran dan gabisa tidur lohh dan w ngerasa jadi anak yg brengsek aja gt ke laki ,0,1,0,0,0,0,0,0,0,0,0,0
cina perusak bangsa usir  stuju,1,0,0,1,0,1,0,0,0,0,0,1
gantipresiden scra konstitusional hak setiap rakyat woiii  gini nih kalo planga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
mari kita wujudkan pilkada kota bengkulu  aman dan damai   cokiadem heru,0,0,0,0,0,0,0,0,0,0,0,0
mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantaraknp tdk ada kristen nusantarabudhahindu bahkan kong huchu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
cowo yang jago drasex mana sini ngentot sama adek  luvian,0,1,0,0,0,0,0,0,0,0,0,0
 kroasia itu kapir tauuungapain blajar sm kapirudh lupa sm kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
  loh bukan nya mentri suharto ada yg homo,1,1,1,0,0,0,0,1,0,1,0,0
gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan entah itu baik  buruk ,0,0,0,0,0,0,0,0,0,0,0,0
pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
kejar setorang memang cukup bangsad mana rupiah turun xfxfxxa,1,1,1,0,0,0,0,0,1,1,0,0
moga ini ada tindak lanjutnya  pelaporan terhadap penista agama ade armando akan dilakukan langsung oleh ketua umum fpi kh shobri lubis ke bareskrim mabes polri gambir jakarta pusat pada selasa  pukul  wib perhaps ,1,0,1,0,1,0,0,0,0,1,0,0
        bangke hajar,1,1,1,0,0,0,0,0,1,0,0,1
   nonta mati klo kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
url ahok tng mrka trus waswas hdpnya       ,1,0,1,0,0,0,0,0,1,1,0,0
itu baru di sul teng  ini ekses akibat tersandera hutang china  gantipresiden presidenbaru  tetapjokowiganti,1,0,1,0,0,0,0,0,1,1,0,0
 pride yunani xexbdxxcfxxcexbxcfxxcexbxcfxxcexbxcexbdxcexafxcexbhyperxcxphania keangkuhanharga dirikesombonganndikenal juga dengan sebutan hubrisvanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhandan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
aku bertanya tujuan pada hatinlogikaku yg menjawab ntapi hati tak tenangnaku bertanya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
 tak hanya kurang bertaji nya kpk era initapi era ini juga komitmen dlm pemberantasan korupsi tdk spt di era pak sby,1,0,0,1,0,0,0,0,1,0,1,0
  admin tolol di partai tololnpartai tolol untuk orang tolol,1,1,0,1,0,0,0,0,1,0,1,0
  ayu ting ting goyang hot dekat raffi ahmad nagita slavina kampungan norak url,0,1,0,0,0,0,0,0,0,0,0,0
video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di ,0,0,0,0,0,0,0,0,0,0,0,0
ppp jangan buruburu tolak wacana pilkada lewat dprd,0,0,0,0,0,0,0,0,0,0,0,0
random pagi ada bapak nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnyaningin ku jawab pake air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
  ko gua kampret,0,1,0,0,0,0,0,0,0,0,0,0
memek lonte pengen disodok kontol gede,0,1,0,0,0,0,0,0,0,0,0,0
jokowi aja yg mundur  tutup url,1,0,1,0,0,0,0,0,1,1,0,0
 ngomong opo itumulut kok seperti bancibeli kaca dulu lihat dirimu broo,1,1,1,0,0,0,0,1,0,1,0,0
 ada amin rasisnada amat daninada ratna si paiiitnada si ontanada si lobang anusnjdi jngan takut wo wonkehabisan obat penenang yh,1,1,1,0,0,0,0,0,1,1,0,0
 tunggu komando imam bejat cabul   taik beer xfxfxdxbannape bawa ulamandasar banj sempak,1,1,1,0,0,0,0,1,0,1,0,0
kabinet berantakan npemecah belah persatuan hanya ad di rezim ini,1,0,0,1,0,0,0,0,1,0,1,0
dih ngaku lebih pinter dr orang politik ngaca dulu woyy tampang loe aja kxcxak orang bego  ckakakakak,1,1,1,0,0,0,1,0,0,1,0,0
pdiperjuanganmenang dengan menekan perusahaan tambang dgn target proyek yang impossible lalu dilelang murah pada antek cina ntb contoh kasus pdip mau menang dasar bajingan,1,1,0,1,0,0,0,0,1,0,1,0
  ga caya sama mulut buaya mu bwang,1,1,1,0,0,0,0,0,1,1,0,0
 jika sby  prabowo menyatu melawan mega  jokowi  maka peristiwa  akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby   tp jk jkwmegasby melawan prabowo mk pilpres selesai sudah   jk  poros di pilpres mk salah satu lawan,0,0,0,0,0,0,0,0,0,0,0,0
   jangan kayak banci kaleng kamu gatot sering buat gaduh gentleman lah mundur siap bersaing di pemilihan presidens  melawan jokowi,1,1,1,0,0,0,0,1,0,1,0,0
bebal,0,0,0,0,0,0,0,0,0,0,0,0
 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan merekaobviously,0,0,0,0,0,0,0,0,0,0,0,0
  umuh gt persibnpersib kunyuknxfxfxxxfxfxxxfxfxx,1,1,0,1,0,0,0,0,1,0,1,0
  buat film muslim pilih ahok mati nggak di sholatin dijamin laris ,1,0,1,0,0,0,0,0,1,1,0,0
tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah,0,0,0,0,0,0,0,0,0,0,0,0
 eh kenapa muka merah tu tak dpt cendol ke bukan la setan cuaca skrg ni panas,0,1,0,0,0,0,0,0,0,0,0,0
pemberitaan saracen diframing katak seakan tim prabowo dan aniessandi seberulnya itu media menumpahkan sakit hati katak dan cebong ehe,1,1,0,1,0,0,0,0,1,0,1,0
giat bhabinkamtibmas brigpol mbs sihombing pd hari ini rabu  april  melaks sambang desa dan tatap muka sekaligus monitoring kamtibmas menuju pilkada  di desa lobusiregar i tepatnya dirumah rudi panjaitan helman siahaan dan hotman siahaan,0,0,0,0,0,0,0,0,0,0,0,0
syg bgt ya ngeliat perempuan kyk gini gak ada status apa tp udah nemplok sm lakilaki sana sini haduhnnagita slavina blakblakan sebut ayu ting ting kampungan xexx viva url,0,1,0,0,0,0,0,0,0,0,0,0
 jgn lupa juga kang umat katolik dan minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan,0,0,0,0,0,0,0,0,0,0,0,0
    kan ane bukan cebong udeh dibilangin dari maren masih ngeyelnsitu maksa ane jadi cebong,1,1,1,0,0,0,0,0,1,1,0,0
 kelemahan gerindra itu ada di orang iniprabowo turun elektabilitasnya karena congor fadlizon spt durno,1,1,1,0,0,0,0,0,1,1,0,0
selamat hari kartini setiap kali selalu dirayakan lalu apa maknanya kali ini ,0,0,0,0,0,0,0,0,0,0,0,0
foto memang bisu tpi memiliki banyak arti yg sush diartikansma seperti kamu susah diartikanmau putus atau lanjut ,0,0,0,0,0,0,0,0,0,0,0,0
 wakakakaka aku sudah mengalaminya xfxfxxxfxfxxxfxfxxxfxfxx tetiba muncul grub wa an bani abd hadi aka mbahku dan seketika aku mek kenal beberapa orang saja xfxfxaxaxfxfxaxaxfxfxa,0,0,0,0,0,0,0,0,0,0,0,0
abam pres badar n nuqaba pling boekkk dia ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu,0,0,0,0,0,0,0,0,0,0,0,0
seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham tun abdul razak  ds  malaysiamemilih hogohundi,0,0,0,0,0,0,0,0,0,0,0,0
  hahaha sialaaan nih si   ternyata klo lg laper  presiden juga mau disikat sama doi ,0,0,0,0,0,0,0,0,0,0,0,0
   mau menasehati kali supaya ga ugalan nih rezim eh tapi ini negeri sdh keburu ancornah skrg saja ekonomi morat marit kacaoooooo,1,0,1,0,0,0,0,0,1,1,0,0
 aelaah silit kebeler ngapa dikasianin org makin sayang saya paknsetelah kasus sosmed gw baru sadar bbrapa hal di seitansai kemarinntar gw ceritain duuuhhh xfxfxaxaxfxfxaxaxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
 iya tdi cacad,0,0,0,0,0,0,0,0,0,0,0,0
 tahun  rakyat makan aspal dan beton ini adalah solusi jitu mengurangi kemiskinan  keahlian cebong hanya  tukang tipu  cebong mah gitu goblok nggak ketulungan plonga plongo mengakibatkan optimisme berlebihan  gantipresiden ,1,1,0,1,0,0,0,0,1,0,1,0
 aku pernah sempat baca ttg harun yahya ini yg membelot ke kubu yahudi dgn freemasonry nyakdg suka ga percaya,0,0,0,0,0,0,0,0,0,0,0,0
kita maju bersama ulama  kita bergerak bersama semua tokoh agama untuk indonesia nderekgusmus,0,0,0,0,0,0,0,0,0,0,0,0
                    ,0,0,0,0,0,0,0,0,0,0,0,0
mukidikepedean  pertanyaan mudah ya dijawab yg keras  tapi saya minta dijawab yg keras  siapa nama saya ,0,0,0,0,0,0,0,0,0,0,0,0
 kemarin di hujat sekarang mengharap dasar para bani kamprey,1,1,0,1,0,0,0,0,1,0,1,0
 penjelasan sy bukan fitnah silahkan dibantah  apollinaris darmawan sebut alquran kitab sampah,1,1,0,1,1,0,0,0,0,0,1,0
monyet aja koloe dbilang saudra sma elo pasti ogah hdupmu kok gini amat ya toe hati apa comberan ,1,1,1,0,0,0,0,0,1,1,0,0
body lufra scrub dg bhn dasar lidah buaya utk mlembabkn kulit amp lbh bcahaya info  bmi,0,0,0,0,0,0,0,0,0,0,0,0
 tak punya cacat di masa lalu krn blum bermasa lalu,0,0,0,0,0,0,0,0,0,0,0,0
  jangan penganut bumi datar juga xfxfxxdnsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka,0,0,0,0,0,0,0,0,0,0,0,0
becak warga binjai hendak disita karena gunakan tenda bertuliskan gantipresiden pks meradang  bukti pemerintah panik dan takut ,1,0,0,1,0,0,0,0,1,0,1,0
